Mode,Threads,Time_s,Speedup,FroNorm
Sequential,1,0.22035559999999998,1.0,40.92530938036199
Parallel,1,0.2594965,0.8491659810440602,40.92530938036199
Parallel,2,3.0773765,0.07160501810551942,40.92530938036199
Parallel,4,3.0844788999999997,0.07144013855954728,40.92530938036199
Parallel,8,3.1821948000000004,0.06924642074080442,40.92530938036199
